file_path,violation_type,severity,vendor_alternative,replacement_strategy,complexity_score,dependencies
mcp-launcher-commonjs.js,node_utilities,medium,npm scripts,migrate_to_npm_scripts,3.06,"child_process, path"
.opencode-env.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.56,
closed-loop-analysis-framework.js,node_utilities,high,npm scripts,migrate_to_npm_scripts,5.36,
validate-vendor-tools.js,node_utilities,critical,npm scripts,migrate_to_npm_scripts,7.04,"child_process, path, fs"
validate-mcp-servers-fixed.js,node_utilities,critical,npm scripts,migrate_to_npm_scripts,7.02,
validate-mcp-servers.js,node_utilities,critical,npm scripts,migrate_to_npm_scripts,7.12,
tools/python/infinitesimal_gap_analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.2,"sys, typing, platform, dataclasses, psutil"
tools/python/numerical-methods-audit.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.82,"sys, json, math, subprocess, pathlib"
tools/python/validate_installations.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,9.7,"sys, typing, json, sklearn, mlflow"
tools/python/numerical-methods-audit.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,8.82,"sys, json, math, subprocess, pathlib"
tools/python/comprehensive_gap_analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.68,"sys, typing, tempfile, dataclasses, json"
tools/python/comprehensive_gap_analysis.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,7.68,"sys, typing, tempfile, dataclasses, json"
tools/python/finite-element-sphere-analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.32,"sys, typing, json, math, scipy"
tools/python/debug-deployment-issues.py,python_utilities,high,click,migrate_to_cli_frameworks,6.72,"json, subprocess, pathlib, datetime, os"
tools/python/comprehensive_unit_tests.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.8,"sys, tempfile, json, subprocess, shutil"
tools/python/fix_environment.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.5,"sys, subprocess, pathlib, shutil, os"
tools/python/spherical_finite_element_markov_analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.22,"json, random, datetime, time, os"
tools/python/audit_loose_files_fixed.py,python_utilities,high,click,migrate_to_cli_frameworks,6.76,"typing, json, pathlib, time, os"
tools/python/debug_cursor_issues.py,python_utilities,high,click,migrate_to_cli_frameworks,5.34,"sys, json, subprocess, requests, pathlib"
tools/python/validate_installations.py.backup.backup,python_utilities,critical,click,migrate_to_cli_frameworks,10.0,"sys, typing, json, sklearn, mlflow"
tools/python/audit_loose_files.py,python_utilities,high,click,migrate_to_cli_frameworks,4.86,"typing, json, pathlib, time, os"
tools/python/infinitesimal_gap_analysis.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,8.2,"sys, typing, platform, dataclasses, psutil"
tools/python/critical_fixes.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,5.76,"sys, json, subprocess, pathlib, shutil"
tools/python/finite_element_gap_analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.3,"concurrent, sys, typing, threading, dataclasses"
tools/python/validate_installations.py,python_utilities,critical,click,migrate_to_cli_frameworks,10.0,"sys, typing, json, sklearn, mlflow"
tools/python/fix_environment.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,8.5,"sys, subprocess, pathlib, shutil, os"
tools/python/critical_fixes.py,python_utilities,high,click,migrate_to_cli_frameworks,5.74,"sys, json, subprocess, pathlib, shutil"
tools/python/comprehensive_system_diagnostic.py,python_utilities,high,click,migrate_to_cli_frameworks,6.98,"sys, typing, socket, psutil, json"
tools/python/comprehensive_system_diagnostic.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,7.0,"sys, typing, socket, psutil, json"
tools/python/spherical_finite_element_markov_analysis.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,8.22,"json, random, datetime, time, os"
tools/python/audit_loose_files_fixed.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,7.26,"typing, json, pathlib, time, os"
tools/python/agi_integration_framework.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.1,"sys, urllib, tempfile, tarfile, json"
tools/python/finite_element_analysis.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.36,"json, re, pathlib, networkx, matplotlib"
tools/python/finite-element-sphere-analysis.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.32,"sys, typing, json, math, scipy"
tools/python/agi_integration_framework.py,python_utilities,high,click,migrate_to_cli_frameworks,6.08,"sys, urllib, tempfile, tarfile, json"
tools/python/finite-element-analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.78,"sys, typing, dataclasses, json, sklearn"
tools/python/final-verification.py,python_utilities,critical,click,migrate_to_cli_frameworks,10.0,"pathlib, os"
tools/python/debug_cursor_issues.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,5.36,"sys, json, subprocess, requests, pathlib"
tools/python/debug-use-cases.py,python_utilities,critical,click,migrate_to_cli_frameworks,10.0,"sys, json, datetime, pathlib, os"
tools/python/audit_loose_files.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,4.88,"typing, json, pathlib, time, os"
tools/python/finite_element_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.36,"json, re, pathlib, networkx, matplotlib"
tools/python/comprehensive_unit_tests.py,python_utilities,high,click,migrate_to_cli_frameworks,6.78,"sys, tempfile, json, subprocess, shutil"
tools/javascript/cursor_debug_instrumentation.js,node_utilities,high,npm scripts,migrate_to_npm_scripts,4.9,
tools/javascript/cursor_debug_instrumentation.js.backup,node_utilities,high,npm scripts,migrate_to_npm_scripts,5.92,
domains/ecommerce/services/personalization-engine.py,python_utilities,high,click,migrate_to_cli_frameworks,5.9,"typing, json, sklearn, numpy, os"
domains/use-cases/deploy-all.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.43,
domains/use-cases/01-ecommerce/comprehensive-system-test.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.34,
domains/use-cases/01-ecommerce/final-verification.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,10.0,
domains/use-cases/01-ecommerce/domains/use-cases/deploy-all.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.59,
domains/use-cases/01-ecommerce/domains/use-cases/01-ecommerce/main.py,python_utilities,high,click,migrate_to_cli_frameworks,6.78,"typing, fastapi, uvicorn, asyncio, os"
bin/gibson,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.29,
auth/cli/authenticated-cli-wrapper.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.12,
pixi-universe/authenticated_cli_manager.py,python_utilities,high,click,migrate_to_cli_frameworks,6.82,"sys, typing, dataclasses, json, subprocess"
pixi-universe/mathematical_modeling.py,python_utilities,high,click,migrate_to_cli_frameworks,6.5,"typing, dataclasses, json, datetime, enum"
pixi-universe/run_pixi_universe.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.88,
ecommerce-personalization/setup.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.51,"docker, node, npm, npm"
ecommerce-personalization/stop.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,0.56,
ecommerce-personalization/start.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.79,"npm, npm"
mcp/servers/universal-mcp-server.js,node_utilities,medium,npm scripts,migrate_to_npm_scripts,3.58,"@modelcontextprotocol/sdk/server/index.js, @modelcontextprotocol/sdk/types.js, @modelcontextprotocol/sdk/server/sse.js"
docs/adr-architecture-organizer.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.2,
api-smoke-tests/smoke-test.js,node_utilities,high,npm scripts,migrate_to_npm_scripts,4.96,"https, child_process, http"
testing/finite-element-sphere-analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.32,"sys, typing, json, math, scipy"
testing/unit/comprehensive_unit_tests.py,python_utilities,high,click,migrate_to_cli_frameworks,6.78,"sys, tempfile, json, subprocess, shutil"
testing/integration/integration-test.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,8.88,
testing/integration/test-template-issue.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.0,
testing/integration/test_mcp.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.04,"npm, npm"
testing/integration/test_version.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,0.5,
testing/integration/test_cursor_instrumentation.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.18,node
testing/integration/test-api-connectivity.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.33,"curl, curl"
testing/integration/compare_images.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,0.66,
testing/integration/vendor_mcp_test.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.76,
testing/integration/api_smoke_tests.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.58,"curl, curl, curl, curl"
testing/integration/api-smoke-tests.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.54,"curl, curl, curl"
ai-ml/agi_integration_framework.py,python_utilities,high,click,migrate_to_cli_frameworks,6.08,"sys, urllib, tempfile, tarfile, json"
ai-ml/inference/run.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.04,"__future__, sys, operator, argparse, re"
ai-ml/inference/paint.py,python_utilities,high,click,migrate_to_cli_frameworks,5.49,turtle
ai-ml/inference/_html_base.py,python_utilities,high,click,migrate_to_cli_frameworks,7.0,"__future__, warnings, re, xml, pathlib"
ai-ml/inference/analyze_tool_availability.py,python_utilities,high,click,migrate_to_cli_frameworks,5.16,"json, subprocess, pathlib, time, logging"
ai-ml/inference/ml_gap_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.28,"sys, typing, dataclasses, json, re"
ai-ml/inference/package_xml_2_cmake.py,python_utilities,high,click,migrate_to_cli_frameworks,5.56,"sys, catkin_pkg, argparse, collections, os"
hooks/workflow-error-handler.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.96,
hooks/pre-workflow-validation.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.78,"curl, curl"
hooks/post-workflow-notification.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.42,curl
configs/env-template.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.46,
configs/.editorconfig,custom_docker,medium,docker-compose templates,use_infrastructure_templates,2.27,
configs/.gitignore,custom_ci_cd,critical,GitHub Actions templates,use_ci_cd_templates,7.57,
configs/proxy-env.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.36,
configs/finite_element_gap_analysis_results.json,custom_config,medium,cosmiconfig,use_vendor_config_libs,3.24,
configs/git-hooks/pre-commit,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.91,
scripts/ultimate-integration-orchestrator.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.72,
scripts/comprehensive_rule_audit_integration.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.36,
scripts/chezmoi_comprehensive_audit.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.5,git
scripts/env-select.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.48,
scripts/install_all_tools.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.48,
scripts/install_remaining_tools.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.26,"npm, npm, npm"
scripts/adr-architecture-organizer.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.2,
scripts/vendor-cli-only-fix.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.88,"curl, curl, git, git, git"
scripts/comprehensive_fixes.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.92,
scripts/install_priority_tools.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,2.92,"python, npm, npm, npm, npm"
scripts/polyglot_integration_proxy.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.8,"typing, fastapi, json, subprocess, uvicorn"
scripts/infinitesimal_gap_analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.2,"sys, typing, platform, dataclasses, psutil"
scripts/containerization-setup.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.54,
scripts/master-ai-agency-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.96,
scripts/start_fea_environment.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.88,"sys, json, argparse, subprocess, pathlib"
scripts/audit_exposed_secrets.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.48,
scripts/start-mcp-ecosystem.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.34,
scripts/fea_optimize.py,python_utilities,high,click,migrate_to_cli_frameworks,5.9,"scipy, matplotlib, time, numpy"
scripts/validate_installations.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,10.0,"sys, typing, json, sklearn, mlflow"
scripts/setup_20_mcp_servers.sh.backup,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,npm
scripts/comprehensive_gap_analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.68,"sys, typing, tempfile, dataclasses, json"
scripts/comprehensive_gap_analysis.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,7.68,"sys, typing, tempfile, dataclasses, json"
scripts/gap_analysis_audit.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.2,
scripts/finite-element-sphere-analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,4.8,"typing, json, math, pathlib, logging"
scripts/setup_shell_tools.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,8.78,
scripts/setup-polyglot-stack.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.8,
scripts/install_all_missing_tools.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.62,
scripts/comprehensive_unit_tests.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,6.8,"sys, tempfile, json, subprocess, shutil"
scripts/debug_cursor_shell.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.14,
scripts/mcp_server_health.py,python_utilities,high,click,migrate_to_cli_frameworks,5.74,"sys, typing, json, pathlib, aiohttp"
scripts/20-real-world-use-cases-implementation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.9,python
scripts/prisma-setup.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.86,npm
scripts/comprehensive_cleanup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.42,
scripts/mcp-server-authentication.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.12,
scripts/fix_environment.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.5,"sys, subprocess, pathlib, shutil, os"
scripts/fix-everything-now.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.24,
scripts/fixed-use-cases-implementation.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.5,
scripts/setup-neo4j.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.08,
scripts/validate-environments.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.8,
scripts/gibson-cli-integration.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.26,
scripts/cursor_compliance_check.py,python_utilities,critical,click,migrate_to_cli_frameworks,7.22,"sys, json, pathlib, time, os"
scripts/vendor_gap_analysis.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,4.0,
scripts/fea_claude_install_optimizer.py,python_utilities,high,click,migrate_to_cli_frameworks,6.62,"sys, typing, json, subprocess, shutil"
scripts/streamlined-fea-analysis.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.48,
scripts/comprehensive_fix_script.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.54,"node, npm"
scripts/fix_cursor_mcp.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.6,
scripts/setup_mcp_expansion.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.96,npm
scripts/install-vendor-tools.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,9.38,"npm, npm, npm"
scripts/check_mcp_health.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.27,curl
scripts/ultimate-fix-everything.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.54,
scripts/test_mcp.sh,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.04,"npm, npm"
scripts/java_ecosystem_audit.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.12,
scripts/comprehensive_debug_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.34,"sys, platform, psutil, json, subprocess"
scripts/simple_20step_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,6.32,"sys, typing, json, pathlib, numpy"
scripts/network-proxy-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.34,
scripts/comprehensive-tool-audit.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.74,docker
scripts/comprehensive-unit-tests.py,python_utilities,high,click,migrate_to_cli_frameworks,6.48,"sys, typing, tempfile, json, subprocess"
scripts/init_mcp_servers.py,python_utilities,high,click,migrate_to_cli_frameworks,6.5,"sys, json, subprocess, pathlib, requests"
scripts/audit-loose-files.py,python_utilities,high,click,migrate_to_cli_frameworks,4.84,"typing, json, pathlib, logging, mimetypes"
scripts/run_outside_sandbox.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.88,"curl, wget, npm"
scripts/gaussian-sphere-analysis.py,python_utilities,critical,click,migrate_to_cli_frameworks,8.62,"json, sklearn, math, datetime, pathlib"
scripts/enforce-vendor-compliance.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.2,
scripts/gap_analysis_audit.sh.backup,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,7.2,
scripts/verify_tools.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.42,
scripts/fea_solver.py,python_utilities,high,click,migrate_to_cli_frameworks,4.6,"json, mpl_toolkits, time, numpy, matplotlib"
scripts/setup_polyglot_integration.sh,shell_scripts,medium,npm scripts,migrate_to_vendor_task_runners,3.16,
scripts/fea_gap_analysis.py,python_utilities,high,click,migrate_to_cli_frameworks,5.52,"json, scipy, pathlib, numpy, matplotlib"
scripts/infinitesimal_gap_analysis.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,8.2,"sys, typing, platform, dataclasses, psutil"
scripts/critical_fixes.py.backup,python_utilities,high,click,migrate_to_cli_frameworks,5.76,"sys, json, subprocess, pathlib, shutil"
scripts/setup-polyglot-stack.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.82,
scripts/final-system-proof.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,4.66,
scripts/comprehensive-tool-audit.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.78,docker
scripts/fix-everything-now.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.24,
scripts/database-integration-setup.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.36,npm
scripts/setup_1password.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.88,
scripts/prisma-setup.sh.backup,shell_scripts,low,npm scripts,migrate_to_vendor_task_runners,1.81,npm
scripts/security_scan.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.64,"docker, docker"
scripts/cursor_compliance_check.py.backup,python_utilities,critical,click,migrate_to_cli_frameworks,7.78,"sys, json, pathlib, time, os"
scripts/organize-loose-files.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.12,python
scripts/run_outside_sandbox.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,6.8,"curl, wget, npm"
scripts/comprehensive-finite-element-analysis.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.54,
scripts/comprehensive_gap_analysis.sh,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.74,
scripts/setup-network-proxy.sh,shell_scripts,critical,npm scripts,migrate_to_vendor_task_runners,8.2,curl
scripts/setup-mcp-servers.sh.backup,shell_scripts,high,npm scripts,migrate_to_vendor_task_runners,5.16,"yarn, git, docker"
